com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:17:54,346 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,571 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,757 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,767 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:20:17,806 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,520 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,725 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,746 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,241 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,402 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,412 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:52,033 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:52,195 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
